Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2017,2017,Export,USA,Antigua and Barbuda,Beer made from malt,2203,70739
2017,2017,Export,USA,Argentina,Beer made from malt,2203,51427
2017,2017,Export,USA,Australia,Beer made from malt,2203,15899868
2017,2017,Export,USA,Bahamas,Beer made from malt,2203,6589110
2017,2017,Export,USA,Bahrain,Beer made from malt,2203,1052118
2017,2017,Export,USA,Bangladesh,Beer made from malt,2203,17758
2017,2017,Export,USA,Barbados,Beer made from malt,2203,141882
2017,2017,Export,USA,Belgium,Beer made from malt,2203,4395125
2017,2017,Export,USA,Bermuda,Beer made from malt,2203,1738844
2017,2017,Export,USA,Bolivia (Plurinational State of),Beer made from malt,2203,315709
2017,2017,Export,USA,Brazil,Beer made from malt,2203,2513830
2017,2017,Export,USA,Belize,Beer made from malt,2203,143348
2017,2017,Export,USA,Br. Virgin Isds,Beer made from malt,2203,1057705
2017,2017,Export,USA,Canada,Beer made from malt,2203,166904859
2017,2017,Export,USA,Cayman Isds,Beer made from malt,2203,3045411
2017,2017,Export,USA,Chad,Beer made from malt,2203,330000
2017,2017,Export,USA,Chile,Beer made from malt,2203,136889121
2017,2017,Export,USA,China,Beer made from malt,2203,8045941
2017,2017,Export,USA,Colombia,Beer made from malt,2203,14577577
2017,2017,Export,USA,Costa Rica,Beer made from malt,2203,4941958
2017,2017,Export,USA,Cuba,Beer made from malt,2203,417542
2017,2017,Export,USA,Cyprus,Beer made from malt,2203,254267
2017,2017,Export,USA,Denmark,Beer made from malt,2203,3318520
2017,2017,Export,USA,Dominican Rep.,Beer made from malt,2203,8988884
2017,2017,Export,USA,Ecuador,Beer made from malt,2203,4374
2017,2017,Export,USA,El Salvador,Beer made from malt,2203,76500
2017,2017,Export,USA,Fiji,Beer made from malt,2203,9704
2017,2017,Export,USA,Finland,Beer made from malt,2203,585399
2017,2017,Export,USA,France,Beer made from malt,2203,3382629
2017,2017,Export,USA,French Polynesia,Beer made from malt,2203,326464
2017,2017,Export,USA,Germany,Beer made from malt,2203,1157452
2017,2017,Export,USA,Kiribati,Beer made from malt,2203,66813
2017,2017,Export,USA,Grenada,Beer made from malt,2203,16740
2017,2017,Export,USA,Guatemala,Beer made from malt,2203,10430671
2017,2017,Export,USA,Guyana,Beer made from malt,2203,8729
2017,2017,Export,USA,Haiti,Beer made from malt,2203,14782
2017,2017,Export,USA,Honduras,Beer made from malt,2203,15702215
2017,2017,Export,USA,"China, Hong Kong SAR",Beer made from malt,2203,2053883
2017,2017,Export,USA,Iceland,Beer made from malt,2203,115123
2017,2017,Export,USA,Indonesia,Beer made from malt,2203,61523
2017,2017,Export,USA,Iraq,Beer made from malt,2203,480000
2017,2017,Export,USA,Ireland,Beer made from malt,2203,1786220
2017,2017,Export,USA,Israel,Beer made from malt,2203,168955
2017,2017,Export,USA,Italy,Beer made from malt,2203,2848950
2017,2017,Export,USA,Jamaica,Beer made from malt,2203,223652
2017,2017,Export,USA,Japan,Beer made from malt,2203,6604748
2017,2017,Export,USA,Kazakhstan,Beer made from malt,2203,12136
2017,2017,Export,USA,Jordan,Beer made from malt,2203,130771
2017,2017,Export,USA,Kenya,Beer made from malt,2203,73877
2017,2017,Export,USA,Rep. of Korea,Beer made from malt,2203,28397671
2017,2017,Export,USA,Kuwait,Beer made from malt,2203,309751
2017,2017,Export,USA,Lebanon,Beer made from malt,2203,308297
2017,2017,Export,USA,Latvia,Beer made from malt,2203,47280
2017,2017,Export,USA,Lithuania,Beer made from malt,2203,107750
2017,2017,Export,USA,Malaysia,Beer made from malt,2203,1378612
2017,2017,Export,USA,Malta,Beer made from malt,2203,307597
2017,2017,Export,USA,Mexico,Beer made from malt,2203,147659793
2017,2017,Export,USA,"Other Asia, nes",Beer made from malt,2203,16459202
2017,2017,Export,USA,Morocco,Beer made from malt,2203,1527285
2017,2017,Export,USA,Oman,Beer made from malt,2203,318286
2017,2017,Export,USA,Nepal,Beer made from malt,2203,112383
2017,2017,Export,USA,Netherlands,Beer made from malt,2203,5592073
2017,2017,Export,USA,Curaçao,Beer made from malt,2203,3161731
2017,2017,Export,USA,Aruba,Beer made from malt,2203,1764288
2017,2017,Export,USA,Saint Maarten,Beer made from malt,2203,1791024
2017,2017,Export,USA,New Zealand,Beer made from malt,2203,1400362
2017,2017,Export,USA,Nicaragua,Beer made from malt,2203,131215
2017,2017,Export,USA,Norway,Beer made from malt,2203,1555715
2017,2017,Export,USA,FS Micronesia,Beer made from malt,2203,1282087
2017,2017,Export,USA,Marshall Isds,Beer made from malt,2203,27000
2017,2017,Export,USA,Palau,Beer made from malt,2203,1038570
2017,2017,Export,USA,Panama,Beer made from malt,2203,16832139
2017,2017,Export,USA,Paraguay,Beer made from malt,2203,14614804
2017,2017,Export,USA,Peru,Beer made from malt,2203,93929
2017,2017,Export,USA,Philippines,Beer made from malt,2203,825603
2017,2017,Export,USA,Poland,Beer made from malt,2203,12835
2017,2017,Export,USA,Portugal,Beer made from malt,2203,5811
2017,2017,Export,USA,Qatar,Beer made from malt,2203,576657
2017,2017,Export,USA,Russian Federation,Beer made from malt,2203,1500908
2017,2017,Export,USA,Saint Kitts and Nevis,Beer made from malt,2203,30128
2017,2017,Export,USA,Anguilla,Beer made from malt,2203,102557
2017,2017,Export,USA,Saint Lucia,Beer made from malt,2203,36028
2017,2017,Export,USA,Saudi Arabia,Beer made from malt,2203,2183876
2017,2017,Export,USA,Sierra Leone,Beer made from malt,2203,30000
2017,2017,Export,USA,India,Beer made from malt,2203,42103
2017,2017,Export,USA,Singapore,Beer made from malt,2203,2526636
2017,2017,Export,USA,Viet Nam,Beer made from malt,2203,14246
2017,2017,Export,USA,South Africa,Beer made from malt,2203,607993
2017,2017,Export,USA,Spain,Beer made from malt,2203,1221415
2017,2017,Export,USA,Suriname,Beer made from malt,2203,147769
2017,2017,Export,USA,Sweden,Beer made from malt,2203,21763804
2017,2017,Export,USA,Switzerland,Beer made from malt,2203,438559
2017,2017,Export,USA,Thailand,Beer made from malt,2203,1001692
2017,2017,Export,USA,Trinidad and Tobago,Beer made from malt,2203,1894332
2017,2017,Export,USA,United Arab Emirates,Beer made from malt,2203,7163735
2017,2017,Export,USA,Tunisia,Beer made from malt,2203,4638
2017,2017,Export,USA,Turkey,Beer made from malt,2203,1285276
2017,2017,Export,USA,Turks and Caicos Isds,Beer made from malt,2203,1285788
2017,2017,Export,USA,Ukraine,Beer made from malt,2203,10570
2017,2017,Export,USA,United Kingdom,Beer made from malt,2203,37812549
2017,2017,Export,USA,Uruguay,Beer made from malt,2203,3019538
2017,2017,Export,USA,Venezuela,Beer made from malt,2203,2700
2013,2013,Export,USA,Antigua and Barbuda,Beer made from malt,2203,7998
2013,2013,Export,USA,Australia,Beer made from malt,2203,14988972
2013,2013,Export,USA,Austria,Beer made from malt,2203,40680
2013,2013,Export,USA,Bahamas,Beer made from malt,2203,2934890
2013,2013,Export,USA,Bahrain,Beer made from malt,2203,334952
2013,2013,Export,USA,Bangladesh,Beer made from malt,2203,76364
2013,2013,Export,USA,Barbados,Beer made from malt,2203,67492
2013,2013,Export,USA,Belgium,Beer made from malt,2203,124441
2013,2013,Export,USA,Bermuda,Beer made from malt,2203,1192984
2013,2013,Export,USA,Bolivia (Plurinational State of),Beer made from malt,2203,28297
2013,2013,Export,USA,Brazil,Beer made from malt,2203,1836064
2013,2013,Export,USA,Belize,Beer made from malt,2203,258367
2013,2013,Export,USA,Solomon Isds,Beer made from malt,2203,43355
2013,2013,Export,USA,Br. Virgin Isds,Beer made from malt,2203,1109669
2013,2013,Export,USA,Myanmar,Beer made from malt,2203,4175
2013,2013,Export,USA,Cambodia,Beer made from malt,2203,365419
2013,2013,Export,USA,Canada,Beer made from malt,2203,163694585
2013,2013,Export,USA,Cayman Isds,Beer made from malt,2203,1534449
2013,2013,Export,USA,Chile,Beer made from malt,2203,41245129
2013,2013,Export,USA,China,Beer made from malt,2203,9311349
2013,2013,Export,USA,Colombia,Beer made from malt,2203,4454897
2013,2013,Export,USA,Cook Isds,Beer made from malt,2203,48775
2013,2013,Export,USA,Costa Rica,Beer made from malt,2203,2332620
2013,2013,Export,USA,Cyprus,Beer made from malt,2203,69216
2013,2013,Export,USA,Benin,Beer made from malt,2203,14898
2013,2013,Export,USA,Denmark,Beer made from malt,2203,1716885
2013,2013,Export,USA,Dominican Rep.,Beer made from malt,2203,3311221
2013,2013,Export,USA,Ecuador,Beer made from malt,2203,1575213
2013,2013,Export,USA,El Salvador,Beer made from malt,2203,874848
2013,2013,Export,USA,Equatorial Guinea,Beer made from malt,2203,4000
2013,2013,Export,USA,Ethiopia,Beer made from malt,2203,10276
2013,2013,Export,USA,Fiji,Beer made from malt,2203,67192
2013,2013,Export,USA,Finland,Beer made from malt,2203,603065
2013,2013,Export,USA,France,Beer made from malt,2203,460163
2013,2013,Export,USA,French Polynesia,Beer made from malt,2203,116728
2013,2013,Export,USA,Germany,Beer made from malt,2203,1068302
2013,2013,Export,USA,Kiribati,Beer made from malt,2203,38800
2013,2013,Export,USA,Greece,Beer made from malt,2203,72685
2013,2013,Export,USA,Guatemala,Beer made from malt,2203,1550138
2013,2013,Export,USA,Guinea,Beer made from malt,2203,14541
2013,2013,Export,USA,Haiti,Beer made from malt,2203,29580
2013,2013,Export,USA,Honduras,Beer made from malt,2203,7743157
2013,2013,Export,USA,"China, Hong Kong SAR",Beer made from malt,2203,2388746
2013,2013,Export,USA,Iceland,Beer made from malt,2203,15585
2013,2013,Export,USA,Ireland,Beer made from malt,2203,742591
2013,2013,Export,USA,Israel,Beer made from malt,2203,327813
2013,2013,Export,USA,Italy,Beer made from malt,2203,2084999
2013,2013,Export,USA,Côte d'Ivoire,Beer made from malt,2203,28028
2013,2013,Export,USA,Jamaica,Beer made from malt,2203,89114
2013,2013,Export,USA,Japan,Beer made from malt,2203,4302971
2013,2013,Export,USA,Jordan,Beer made from malt,2203,123602
2013,2013,Export,USA,Rep. of Korea,Beer made from malt,2203,6747382
2013,2013,Export,USA,Lebanon,Beer made from malt,2203,127727
2013,2013,Export,USA,Latvia,Beer made from malt,2203,80646
2013,2013,Export,USA,Liberia,Beer made from malt,2203,35402
2013,2013,Export,USA,Lithuania,Beer made from malt,2203,13977
2013,2013,Export,USA,Malaysia,Beer made from malt,2203,2151172
2013,2013,Export,USA,Malta,Beer made from malt,2203,121731
2013,2013,Export,USA,Mexico,Beer made from malt,2203,126837872
2013,2013,Export,USA,"Other Asia, nes",Beer made from malt,2203,8459601
2013,2013,Export,USA,Mongolia,Beer made from malt,2203,185750
2013,2013,Export,USA,Morocco,Beer made from malt,2203,493492
2013,2013,Export,USA,Oman,Beer made from malt,2203,502906
2013,2013,Export,USA,Nauru,Beer made from malt,2203,40500
2013,2013,Export,USA,Netherlands,Beer made from malt,2203,1306580
2013,2013,Export,USA,Curaçao,Beer made from malt,2203,426477
2013,2013,Export,USA,Aruba,Beer made from malt,2203,1625370
2013,2013,Export,USA,Saint Maarten,Beer made from malt,2203,2071160
2013,2013,Export,USA,Vanuatu,Beer made from malt,2203,5310
2013,2013,Export,USA,New Zealand,Beer made from malt,2203,1801837
2013,2013,Export,USA,Nicaragua,Beer made from malt,2203,3175
2013,2013,Export,USA,Niger,Beer made from malt,2203,10192
2013,2013,Export,USA,Nigeria,Beer made from malt,2203,15106
2013,2013,Export,USA,Norway,Beer made from malt,2203,1679821
2013,2013,Export,USA,FS Micronesia,Beer made from malt,2203,897252
2013,2013,Export,USA,Marshall Isds,Beer made from malt,2203,165053
2013,2013,Export,USA,Palau,Beer made from malt,2203,1200311
2013,2013,Export,USA,Pakistan,Beer made from malt,2203,141041
2013,2013,Export,USA,Panama,Beer made from malt,2203,20447792
2013,2013,Export,USA,Paraguay,Beer made from malt,2203,30269991
2013,2013,Export,USA,Peru,Beer made from malt,2203,745014
2013,2013,Export,USA,Philippines,Beer made from malt,2203,436172
2013,2013,Export,USA,Qatar,Beer made from malt,2203,212996
2013,2013,Export,USA,Russian Federation,Beer made from malt,2203,60000
2013,2013,Export,USA,Anguilla,Beer made from malt,2203,115552
2013,2013,Export,USA,Saint Lucia,Beer made from malt,2203,42341
2013,2013,Export,USA,Saint Vincent and the Grenadines,Beer made from malt,2203,83979
2013,2013,Export,USA,Sao Tome and Principe,Beer made from malt,2203,120000
2013,2013,Export,USA,Sierra Leone,Beer made from malt,2203,14735
2013,2013,Export,USA,India,Beer made from malt,2203,35178
2013,2013,Export,USA,Singapore,Beer made from malt,2203,2641971
2013,2013,Export,USA,Viet Nam,Beer made from malt,2203,964970
2013,2013,Export,USA,South Africa,Beer made from malt,2203,60380
2013,2013,Export,USA,Spain,Beer made from malt,2203,200017
2013,2013,Export,USA,Suriname,Beer made from malt,2203,139003
2013,2013,Export,USA,Sweden,Beer made from malt,2203,13999164
2013,2013,Export,USA,Switzerland,Beer made from malt,2203,215512
2013,2013,Export,USA,Thailand,Beer made from malt,2203,151817
2013,2013,Export,USA,Trinidad and Tobago,Beer made from malt,2203,1861992
2013,2013,Export,USA,United Arab Emirates,Beer made from malt,2203,3906369
2013,2013,Export,USA,Turkey,Beer made from malt,2203,445043
2013,2013,Export,USA,Turks and Caicos Isds,Beer made from malt,2203,769821
2013,2013,Export,USA,United Kingdom,Beer made from malt,2203,9218884
2013,2013,Export,USA,Uruguay,Beer made from malt,2203,422092
2013,2013,Export,USA,Samoa,Beer made from malt,2203,265597
2014,2014,Export,USA,Antigua and Barbuda,Beer made from malt,2203,54861
2014,2014,Export,USA,Argentina,Beer made from malt,2203,14400
2014,2014,Export,USA,Australia,Beer made from malt,2203,23776865
2014,2014,Export,USA,Austria,Beer made from malt,2203,5724
2014,2014,Export,USA,Bahamas,Beer made from malt,2203,2734016
2014,2014,Export,USA,Bahrain,Beer made from malt,2203,451998
2014,2014,Export,USA,Bangladesh,Beer made from malt,2203,60058
2014,2014,Export,USA,Barbados,Beer made from malt,2203,50011
2014,2014,Export,USA,Belgium,Beer made from malt,2203,2289938
2014,2014,Export,USA,Bermuda,Beer made from malt,2203,984606
2014,2014,Export,USA,Bolivia (Plurinational State of),Beer made from malt,2203,178286
2014,2014,Export,USA,Brazil,Beer made from malt,2203,2603031
2014,2014,Export,USA,Belize,Beer made from malt,2203,301366
2014,2014,Export,USA,Br. Virgin Isds,Beer made from malt,2203,1207933
2014,2014,Export,USA,Cambodia,Beer made from malt,2203,359883
2014,2014,Export,USA,Canada,Beer made from malt,2203,159853572
2014,2014,Export,USA,Cayman Isds,Beer made from malt,2203,1464764
2014,2014,Export,USA,Chile,Beer made from malt,2203,44023218
2014,2014,Export,USA,China,Beer made from malt,2203,8569694
2014,2014,Export,USA,Colombia,Beer made from malt,2203,6837179
2014,2014,Export,USA,Cook Isds,Beer made from malt,2203,17611
2014,2014,Export,USA,Costa Rica,Beer made from malt,2203,2581760
2014,2014,Export,USA,Cyprus,Beer made from malt,2203,59807
2014,2014,Export,USA,Denmark,Beer made from malt,2203,2549573
2014,2014,Export,USA,Dominican Rep.,Beer made from malt,2203,3595159
2014,2014,Export,USA,Ecuador,Beer made from malt,2203,649899
2014,2014,Export,USA,El Salvador,Beer made from malt,2203,486898
2014,2014,Export,USA,Equatorial Guinea,Beer made from malt,2203,51400
2014,2014,Export,USA,Fiji,Beer made from malt,2203,14365
2014,2014,Export,USA,Finland,Beer made from malt,2203,794296
2014,2014,Export,USA,France,Beer made from malt,2203,630553
2014,2014,Export,USA,French Polynesia,Beer made from malt,2203,146004
2014,2014,Export,USA,Germany,Beer made from malt,2203,1235911
2014,2014,Export,USA,Kiribati,Beer made from malt,2203,44852
2014,2014,Export,USA,Greece,Beer made from malt,2203,15416
2014,2014,Export,USA,Guatemala,Beer made from malt,2203,2211642
2014,2014,Export,USA,Guinea,Beer made from malt,2203,13393
2014,2014,Export,USA,Haiti,Beer made from malt,2203,64518
2014,2014,Export,USA,Honduras,Beer made from malt,2203,4464653
2014,2014,Export,USA,"China, Hong Kong SAR",Beer made from malt,2203,1903545
2014,2014,Export,USA,Iceland,Beer made from malt,2203,47410
2014,2014,Export,USA,Ireland,Beer made from malt,2203,1073902
2014,2014,Export,USA,Israel,Beer made from malt,2203,156143
2014,2014,Export,USA,Italy,Beer made from malt,2203,2319999
